comparison_id	created_at	left_experiment_id	right_experiment_id	left_factor	right_factor	common_dates	common_rows	summary_path	notes
cmp_20260329T082237Z_avg_trade_notional_bias__order_lifecycle_churn_change	2026-03-29T08:22:37.977306+00:00	exp_20260328T174546Z_rc_20260329_avg_trade_notional_bias_2026	exp_20260329T082058Z_rc_20260329_order_lifecycle_churn_change_2026	avg_trade_notional_bias	order_lifecycle_churn_change	2026-01-05,2026-02-24,2026-03-13	27641	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260329T082237Z_avg_trade_notional_bias__order_lifecycle_churn_change/comparison_summary.json	autoresearch cycle comparison
cmp_20260329T082237Z_avg_trade_notional_bias__close_vwap_gap_intensity_change	2026-03-29T08:22:37.985662+00:00	exp_20260328T174546Z_rc_20260329_avg_trade_notional_bias_2026	exp_20260329T082218Z_rc_20260329_close_vwap_gap_intensity_change_2026	avg_trade_notional_bias	close_vwap_gap_intensity_change	2026-01-05,2026-02-24,2026-03-13	24634	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260329T082237Z_avg_trade_notional_bias__close_vwap_gap_intensity_change/comparison_summary.json	autoresearch cycle comparison
cmp_20260329T082237Z_order_lifecycle_churn__structural_activity_change	2026-03-29T08:22:37.992866+00:00	exp_20260328T180031Z_rc_20260329_order_lifecycle_churn_2026	exp_20260329T080841Z_rc_20260329_structural_activity_change_2026	order_lifecycle_churn	structural_activity_change	2026-01-05,2026-02-24,2026-03-13	24628	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260329T082237Z_order_lifecycle_churn__structural_activity_change/comparison_summary.json	autoresearch cycle comparison
cmp_20260329T082238Z_order_lifecycle_churn__avg_trade_notional_bias_change	2026-03-29T08:22:38.001771+00:00	exp_20260328T180031Z_rc_20260329_order_lifecycle_churn_2026	exp_20260329T080843Z_rc_20260329_avg_trade_notional_bias_change_2026	order_lifecycle_churn	avg_trade_notional_bias_change	2026-01-05,2026-02-24,2026-03-13	24628	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260329T082238Z_order_lifecycle_churn__avg_trade_notional_bias_change/comparison_summary.json	autoresearch cycle comparison
cmp_20260329T082238Z_order_lifecycle_churn__order_lifecycle_churn_change	2026-03-29T08:22:38.008730+00:00	exp_20260328T180031Z_rc_20260329_order_lifecycle_churn_2026	exp_20260329T082058Z_rc_20260329_order_lifecycle_churn_change_2026	order_lifecycle_churn	order_lifecycle_churn_change	2026-01-05,2026-02-24,2026-03-13	46596	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260329T082238Z_order_lifecycle_churn__order_lifecycle_churn_change/comparison_summary.json	autoresearch cycle comparison
cmp_20260329T082238Z_order_lifecycle_churn__close_vwap_gap_intensity_change	2026-03-29T08:22:38.017620+00:00	exp_20260328T180031Z_rc_20260329_order_lifecycle_churn_2026	exp_20260329T082218Z_rc_20260329_close_vwap_gap_intensity_change_2026	order_lifecycle_churn	close_vwap_gap_intensity_change	2026-01-05,2026-02-24,2026-03-13	24628	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260329T082238Z_order_lifecycle_churn__close_vwap_gap_intensity_change/comparison_summary.json	autoresearch cycle comparison
cmp_20260329T082238Z_close_vwap_gap_intensity__structural_activity_change	2026-03-29T08:22:38.024397+00:00	exp_20260328T181910Z_rc_20260329_close_vwap_gap_intensity_2026	exp_20260329T080841Z_rc_20260329_structural_activity_change_2026	close_vwap_gap_intensity	structural_activity_change	2026-01-05,2026-02-24,2026-03-13	24634	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260329T082238Z_close_vwap_gap_intensity__structural_activity_change/comparison_summary.json	autoresearch cycle comparison
cmp_20260329T082238Z_close_vwap_gap_intensity__avg_trade_notional_bias_change	2026-03-29T08:22:38.031933+00:00	exp_20260328T181910Z_rc_20260329_close_vwap_gap_intensity_2026	exp_20260329T080843Z_rc_20260329_avg_trade_notional_bias_change_2026	close_vwap_gap_intensity	avg_trade_notional_bias_change	2026-01-05,2026-02-24,2026-03-13	24634	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260329T082238Z_close_vwap_gap_intensity__avg_trade_notional_bias_change/comparison_summary.json	autoresearch cycle comparison
cmp_20260329T082238Z_close_vwap_gap_intensity__order_lifecycle_churn_change	2026-03-29T08:22:38.037769+00:00	exp_20260328T181910Z_rc_20260329_close_vwap_gap_intensity_2026	exp_20260329T082058Z_rc_20260329_order_lifecycle_churn_change_2026	close_vwap_gap_intensity	order_lifecycle_churn_change	2026-01-05,2026-02-24,2026-03-13	27641	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260329T082238Z_close_vwap_gap_intensity__order_lifecycle_churn_change/comparison_summary.json	autoresearch cycle comparison
cmp_20260329T082238Z_close_vwap_gap_intensity__close_vwap_gap_intensity_change	2026-03-29T08:22:38.045456+00:00	exp_20260328T181910Z_rc_20260329_close_vwap_gap_intensity_2026	exp_20260329T082218Z_rc_20260329_close_vwap_gap_intensity_change_2026	close_vwap_gap_intensity	close_vwap_gap_intensity_change	2026-01-05,2026-02-24,2026-03-13	24634	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260329T082238Z_close_vwap_gap_intensity__close_vwap_gap_intensity_change/comparison_summary.json	autoresearch cycle comparison
